date,daily_return,equity_multiple
2025-10-10,0.0188530578,7.9925181315
2025-10-11,-0.0016087085,7.9796604997
2025-10-12,0.0140245871,8.0915719434
2025-10-13,0.0097637712,8.1705762009
2025-10-14,0.0011458395,8.1799383701
2025-10-15,0.0035791546,8.2092156339
2025-10-16,-0.0021402755,8.1916456508
2025-10-17,-0.0109964358,8.1015667452
2025-10-18,0.0012449349,8.1116526685
2025-10-19,-0.0025030939,8.0913484402
2025-10-20,-0.0065246411,8.0385552959
2025-10-21,0.0003345567,8.0412446483
2025-10-22,0.0037077490,8.0710595648
2025-10-23,0.0168567920,8.2071117367
2025-10-24,-0.0036547761,8.1771165806
2025-10-25,-0.0028732575,8.1536216189
2025-10-26,0.0022470935,8.1719435688
2025-10-27,0.0027768513,8.1946358407
2025-10-28,-0.0081812426,8.1275935367
2025-10-29,0.0030487439,8.1523724883
2025-10-30,-0.0020104177,8.1359828144
2025-10-31,-0.0075317957,8.0747042537
2025-11-01,0.0060527359,8.1235783064
2025-11-02,-0.0053191894,8.0803674546
2025-11-03,-0.0067553555,8.0257816999
2025-11-04,0.0118500314,8.1208874655
2025-11-05,-0.0000545008,8.1204448708
2025-11-06,0.0039011091,8.1521236121
2025-11-07,0.0192348189,8.3089282331
2025-11-08,0.0004792325,8.3129101419
2025-11-09,-0.0080076154,8.2463435547
2025-11-10,0.0127557024,8.3515314591
2025-11-11,-0.0013933055,8.3398952244
2025-11-12,-0.0029228076,8.3155193152
2025-11-13,-0.0039816994,8.2824094171
2025-11-14,0.0089822890,8.3568044121
2025-11-15,0.0007160257,8.3627880985
2025-11-16,0.0057378786,8.4107727611
2025-11-17,-0.0003864423,8.4075224823
2025-11-18,-0.0020596009,8.3902063413
2025-11-19,-0.0057704371,8.3417911837
2025-11-20,0.0108582790,8.4323686796
2025-11-21,-0.0023144078,8.4128527398
2025-11-22,-0.0024047970,8.3926215364
2025-11-23,-0.0066845817,8.3365203718
2025-11-24,-0.0005228989,8.3321612145
2025-11-25,0.0029533472,8.3567689796
2025-11-26,0.0041492407,8.3914432259
2025-11-27,0.0001900390,8.3930379276
2025-11-28,0.0013469765,8.4043431522
2025-11-29,-0.0048775496,8.3633505513
2025-11-30,-0.0094512826,8.2843061614
2025-12-01,-0.0003948736,8.2810349078
